"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan","Estimate!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access"
"1400000US36005000100","Census Tract 1, Bronx County, New York","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US36005000200","Census Tract 2, Bronx County, New York","1321","87","1050","113","0","16","1050","113","448","140","73","56","945","114","541","125","67","41","20","32","0","16","46","47","225","111"
"1400000US36005000400","Census Tract 4, Bronx County, New York","1935","97","1527","139","0","16","1527","139","772","167","76","74","1436","150","755","155","11","17","0","16","0","16","96","71","312","115"
"1400000US36005001600","Census Tract 16, Bronx County, New York","1962","77","1364","133","0","16","1364","133","604","128","104","54","1228","145","739","132","99","55","13","21","0","16","111","78","487","124"
"1400000US36005001900","Census Tract 19, Bronx County, New York","969","51","789","57","0","11","789","57","563","66","51","32","738","66","226","60","20","15","0","11","0","11","48","33","132","47"
"1400000US36005002000","Census Tract 20, Bronx County, New York","3074","113","2231","245","15","26","2216","243","469","175","95","82","2121","245","1716","267","0","16","0","16","0","16","124","112","719","201"
"1400000US36005002300","Census Tract 23, Bronx County, New York","1982","87","1088","147","0","11","1088","147","599","145","121","61","959","147","454","138","43","44","0","11","0","11","35","41","859","126"
"1400000US36005002400","Census Tract 24, Bronx County, New York","28","44","28","44","0","11","28","44","0","11","0","11","28","44","28","44","0","11","0","11","0","11","0","11","0","11"
"1400000US36005002500","Census Tract 25, Bronx County, New York","1890","91","1176","146","13","19","1163","146","712","135","79","67","1054","142","414","115","45","44","0","16","0","16","83","48","631","130"
