city,tract,county,BoroCTLbl,Total,Mobile_Dependent,Wired_Broadband,No_Internet
 New York,1,Bronx,Bronx 1,0,0,0,0
 New York,2,Bronx,Bronx 2,1321,73,945,225
 New York,4,Bronx,Bronx 4,1935,76,1436,312
 New York,16,Bronx,Bronx 16,1962,104,1228,487
 New York,19,Bronx,Bronx 19,969,51,738,132
 New York,20,Bronx,Bronx 20,3074,95,2121,719
 New York,23,Bronx,Bronx 23,1982,121,959,859
 New York,24,Bronx,Bronx 24,28,0,28,0
 New York,25,Bronx,Bronx 25,1890,79,1054,631
 New York,27.01,Bronx,Bronx 27.01,1059,110,548,315
 New York,27.02,Bronx,Bronx 27.02,1467,132,777,549
 New York,28,Bronx,Bronx 28,2377,142,1587,555
 New York,31,Bronx,Bronx 31,564,22,301,210
 New York,33,Bronx,Bronx 33,1216,72,654,411
 New York,35,Bronx,Bronx 35,1328,119,725,431
 New York,37,Bronx,Bronx 37,143,0,77,66
 New York,38,Bronx,Bronx 38,406,57,248,90
 New York,39,Bronx,Bronx 39,1986,70,1159,624
 New York,40.01,Bronx,Bronx 40.01,494,25,341,86
 New York,41,Bronx,Bronx 41,2030,338,1039,581
 New York,42,Bronx,Bronx 42,2707,74,1965,460
 New York,43,Bronx,Bronx 43,2047,108,1181,642
 New York,44,Bronx,Bronx 44,1636,71,992,494
 New York,46,Bronx,Bronx 46,718,42,557,100
 New York,48,Bronx,Bronx 48,1325,63,810,338
 New York,50.01,Bronx,Bronx 50.01,1564,122,816,544
 New York,50.02,Bronx,Bronx 50.02,1888,199,919,546
 New York,51,Bronx,Bronx 51,2046,170,1211,619
 New York,52,Bronx,Bronx 52,825,37,383,374
 New York,53,Bronx,Bronx 53,1508,128,737,518
 New York,54,Bronx,Bronx 54,1800,98,1035,582
 New York,56,Bronx,Bronx 56,883,53,497,298
 New York,59.02,Bronx,Bronx 59.02,1033,47,670,278
 New York,60,Bronx,Bronx 60,361,19,304,38
 New York,61,Bronx,Bronx 61,2203,102,1234,690
 New York,62,Bronx,Bronx 62,2431,130,1199,1025
 New York,63,Bronx,Bronx 63,1843,48,1177,430
 New York,64,Bronx,Bronx 64,1287,93,698,403
 New York,65,Bronx,Bronx 65,1900,198,1067,591
 New York,67,Bronx,Bronx 67,2317,84,998,970
 New York,68,Bronx,Bronx 68,1023,46,640,227
 New York,69,Bronx,Bronx 69,2699,71,1727,829
 New York,70,Bronx,Bronx 70,1334,6,942,304
 New York,71,Bronx,Bronx 71,982,66,680,162
 New York,72,Bronx,Bronx 72,1649,82,1004,421
 New York,73,Bronx,Bronx 73,1359,17,668,565
 New York,74,Bronx,Bronx 74,1339,29,947,268
 New York,75,Bronx,Bronx 75,2276,110,1475,623
 New York,76,Bronx,Bronx 76,1562,77,931,416
 New York,77,Bronx,Bronx 77,626,79,402,115
 New York,78,Bronx,Bronx 78,2112,114,1308,440
 New York,79,Bronx,Bronx 79,2317,107,1470,557
 New York,83,Bronx,Bronx 83,2084,145,1493,419
 New York,84,Bronx,Bronx 84,728,26,598,73
 New York,85,Bronx,Bronx 85,1937,88,1252,540
 New York,86,Bronx,Bronx 86,1470,122,745,451
 New York,87,Bronx,Bronx 87,2001,48,1356,506
 New York,89,Bronx,Bronx 89,1140,21,602,483
 New York,90,Bronx,Bronx 90,1174,35,679,297
 New York,92,Bronx,Bronx 92,1802,64,1255,364
 New York,93,Bronx,Bronx 93,1633,36,1002,508
 New York,96,Bronx,Bronx 96,766,29,450,197
 New York,98,Bronx,Bronx 98,1738,6,1443,211
 New York,110,Bronx,Bronx 110,46,15,22,9
 New York,115.02,Bronx,Bronx 115.02,1310,68,706,438
 New York,117,Bronx,Bronx 117,571,51,365,132
 New York,118,Bronx,Bronx 118,1508,96,1127,250
 New York,119,Bronx,Bronx 119,1877,199,949,639
 New York,121.01,Bronx,Bronx 121.01,909,64,502,241
 New York,121.02,Bronx,Bronx 121.02,511,14,336,133
 New York,123,Bronx,Bronx 123,1464,52,853,473
 New York,125,Bronx,Bronx 125,1402,85,948,318
 New York,127.01,Bronx,Bronx 127.01,737,13,335,317
 New York,129.01,Bronx,Bronx 129.01,1445,56,800,454
 New York,130,Bronx,Bronx 130,496,15,389,79
 New York,131,Bronx,Bronx 131,1638,137,995,409
 New York,132,Bronx,Bronx 132,2474,184,1719,381
 New York,133,Bronx,Bronx 133,2231,124,1355,671
 New York,135,Bronx,Bronx 135,1360,81,711,553
 New York,138,Bronx,Bronx 138,1012,48,717,177
 New York,141,Bronx,Bronx 141,2123,109,1347,507
 New York,143,Bronx,Bronx 143,555,44,290,183
 New York,144,Bronx,Bronx 144,2156,218,1126,666
 New York,145,Bronx,Bronx 145,2289,161,1238,608
 New York,147.01,Bronx,Bronx 147.01,1990,193,794,745
 New York,147.02,Bronx,Bronx 147.02,1672,54,1066,450
 New York,149,Bronx,Bronx 149,1534,135,813,416
 New York,151,Bronx,Bronx 151,1739,58,1158,418
 New York,152,Bronx,Bronx 152,900,74,631,134
 New York,153,Bronx,Bronx 153,1621,68,858,597
 New York,155,Bronx,Bronx 155,1131,66,667,360
 New York,157,Bronx,Bronx 157,1414,62,802,483
 New York,158,Bronx,Bronx 158,502,26,310,155
 New York,159,Bronx,Bronx 159,649,25,394,197
 New York,160,Bronx,Bronx 160,1540,87,1209,135
 New York,161,Bronx,Bronx 161,1815,37,995,722
 New York,162,Bronx,Bronx 162,569,44,414,75
 New York,163,Bronx,Bronx 163,0,0,0,0
 New York,164,Bronx,Bronx 164,415,16,297,86
 New York,165,Bronx,Bronx 165,354,49,225,40
 New York,166,Bronx,Bronx 166,757,96,444,171
 New York,167,Bronx,Bronx 167,961,47,592,260
 New York,169,Bronx,Bronx 169,499,44,263,161
 New York,171,Bronx,Bronx 171,0,0,0,0
 New York,173,Bronx,Bronx 173,2034,41,1129,697
 New York,175,Bronx,Bronx 175,2626,146,1050,1061
 New York,177.01,Bronx,Bronx 177.01,1141,151,676,249
 New York,177.02,Bronx,Bronx 177.02,1698,136,1050,413
 New York,179.01,Bronx,Bronx 179.01,1699,62,1071,402
 New York,179.02,Bronx,Bronx 179.02,1151,49,696,340
 New York,181.01,Bronx,Bronx 181.01,1029,76,682,161
 New York,181.02,Bronx,Bronx 181.02,1638,199,1051,229
 New York,183.01,Bronx,Bronx 183.01,1973,130,1090,695
 New York,183.02,Bronx,Bronx 183.02,1268,155,782,211
 New York,184,Bronx,Bronx 184,1471,106,1037,224
 New York,185,Bronx,Bronx 185,2678,158,1751,518
 New York,189,Bronx,Bronx 189,2930,243,1763,704
 New York,193,Bronx,Bronx 193,2120,107,853,775
 New York,194,Bronx,Bronx 194,733,69,507,126
 New York,195,Bronx,Bronx 195,2731,309,1514,670
 New York,197,Bronx,Bronx 197,2235,106,1562,470
 New York,199,Bronx,Bronx 199,2780,306,1625,615
 New York,200,Bronx,Bronx 200,1474,49,959,257
 New York,201,Bronx,Bronx 201,1348,120,803,345
 New York,202,Bronx,Bronx 202,844,5,501,276
 New York,204,Bronx,Bronx 204,1073,28,766,191
 New York,205.01,Bronx,Bronx 205.01,2821,173,1615,863
