boro,providers,ctlabel,BoroCTLbl,num_providers,price
Bronx,"['ViaSat, Inc.', 'RCN Telecom Services of New York, LP', 'HNS License Sub, LLC']",1,Bronx 1,3.0,53.326666666666675
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",2,Bronx 2,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",4,Bronx 4,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",16,Bronx 16,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",19,Bronx 19,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",20,Bronx 20,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",23,Bronx 23,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'HNS License Sub, LLC']",24,Bronx 24,3.0,60.830000000000005
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",25,Bronx 25,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",27.01,Bronx 27.01,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",27.02,Bronx 27.02,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",28,Bronx 28,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",31,Bronx 31,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",33,Bronx 33,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",35,Bronx 35,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",37,Bronx 37,4.0,68.7475
Bronx,"['CSC Holdings LLC', 'ViaSat, Inc.', 'Verizon New York Inc.', 'HNS License Sub, LLC']",38,Bronx 38,4.0,68.7475
