boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,BoroCTLbl,NUMPOINTS,BoroCTLbl
5,5000900,Staten Island,E,900,9,SI22,West New Brighton-New Brighton-St. George,3903,2497009.714,7729.016794,Staten Island 9,7,Staten Island 9
1,1009800,Manhattan,I,9800,98,MN19,Turtle Bay-East Midtown,3808,1906016.35,5534.199811,Manhattan 98,4,Manhattan 98
1,1010000,Manhattan,I,10000,100,MN19,Turtle Bay-East Midtown,3808,1860938.377,5692.168737,Manhattan 100,9,Manhattan 100
1,1010200,Manhattan,I,10200,102,MN17,Midtown-Midtown South,3807,1860992.705,5687.802439,Manhattan 102,19,Manhattan 102
1,1010400,Manhattan,I,10400,104,MN17,Midtown-Midtown South,3807,1864600.375,5693.036367,Manhattan 104,19,Manhattan 104
1,1011300,Manhattan,I,11300,113,MN17,Midtown-Midtown South,3807,1890907.291,5699.860641,Manhattan 113,19,Manhattan 113
1,1011402,Manhattan,I,11402,114.02,MN40,Upper East Side-Carnegie Hill,3805,1063547.414,4125.256029,Manhattan 114.02,7,Manhattan 114.02
1,1013000,Manhattan,I,13000,130,MN40,Upper East Side-Carnegie Hill,3805,1918144.54,5807.972956,Manhattan 130,16,Manhattan 130
1,1014000,Manhattan,I,14000,140,MN40,Upper East Side-Carnegie Hill,3805,1925984.223,5820.81564,Manhattan 140,7,Manhattan 140
1,1014801,Manhattan,I,14801,148.01,MN40,Upper East Side-Carnegie Hill,3805,559216.1578,3135.951423,Manhattan 148.01,5,Manhattan 148.01
1,1018400,Manhattan,E,18400,184,MN34,East Harlem North,3804,1903568.353,5771.874098,Manhattan 184,6,Manhattan 184
1,1019000,Manhattan,I,19000,190,MN11,Central Harlem South,3803,1117371.679,4231.827087,Manhattan 190,2,Manhattan 190
1,1020600,Manhattan,E,20600,206,MN03,Central Harlem North-Polo Grounds,3803,1602693.822,5176.87315,Manhattan 206,6,Manhattan 206
3,3007800,Brooklyn,E,7800,78,BK32,Sunset Park West,4012,1509791.99,4986.671595,Brooklyn 78,3,Brooklyn 78
3,3008000,Brooklyn,E,8000,80,BK32,Sunset Park West,4012,1506326.485,4989.723103,Brooklyn 80,1,Brooklyn 80
1,1024900,Manhattan,I,24900,249,MN36,Washington Heights South,3801,652856.343,3927.82147,Manhattan 249,2,Manhattan 249
1,1026100,Manhattan,E,26100,261,MN36,Washington Heights South,3801,1681539.06,5532.099858,Manhattan 261,4,Manhattan 261
1,1026300,Manhattan,E,26300,263,MN36,Washington Heights South,3801,1691891.994,5730.54184,Manhattan 263,6,Manhattan 263
1,1026900,Manhattan,E,26900,269,MN35,Washington Heights North,3801,1889655.548,6017.036777,Manhattan 269,4,Manhattan 269
1,1027700,Manhattan,E,27700,277,MN35,Washington Heights North,3801,1760155.988,5903.152615,Manhattan 277,5,Manhattan 277
3,3000501,Brooklyn,I,501,5.01,BK09,Brooklyn Heights-Cobble Hill,4004,901506.9925,4828.170042,Brooklyn 5.01,4,Brooklyn 5.01
